DATE,TIME,Open,Highest,Lowest,Close,Volumn
2019/9/16,9:05,4321,4387,4321,4385,1068648
2019/9/16,9:10,4385,4388,4371,4372,446142
2019/9/16,9:15,4372,4376,4364,4372,248544
2019/9/16,9:20,4372,4378,4370,4375,177994
2019/9/16,9:25,4375,4375,4365,4367,166314
2019/9/16,9:30,4366,4367,4361,4366,139678
2019/9/16,9:35,4367,4372,4365,4371,166092
2019/9/16,9:40,4372,4372,4365,4366,140746
2019/9/16,9:45,4366,4370,4366,4368,79810
2019/9/16,9:50,4368,4369,4366,4368,71208
2019/9/16,9:55,4368,4369,4364,4367,89828
2019/9/16,10:00,4367,4372,4366,4371,75738
2019/9/16,10:05,4372,4374,4370,4371,52712
2019/9/16,10:10,4370,4371,4366,4367,69096
2019/9/16,10:15,4367,4368,4366,4368,44548
2019/9/16,10:20,4368,4370,4366,4367,33116
2019/9/16,10:25,4367,4367,4366,4367,19238
2019/9/16,10:30,4366,4367,4363,4364,51138
2019/9/16,10:35,4364,4367,4363,4364,57274
2019/9/16,10:40,4365,4365,4357,4360,116840
2019/9/16,10:45,4360,4362,4352,4355,108718
2019/9/16,10:50,4355,4358,4349,4357,188630
2019/9/16,10:55,4356,4359,4354,4355,96376
2019/9/16,11:00,4355,4358,4351,4352,93952
2019/9/16,11:05,4353,4360,4352,4360,60706
2019/9/16,11:10,4360,4367,4360,4363,149040
2019/9/16,11:15,4364,4365,4361,4365,25258
2019/9/16,11:20,4364,4366,4361,4362,24556
2019/9/16,11:25,4362,4363,4360,4361,19314
2019/9/16,11:30,4361,4361,4356,4359,28410
2019/9/16,11:35,4359,4363,4359,4359,14910
2019/9/16,11:40,4359,4360,4356,4357,6384
2019/9/16,11:45,4356,4358,4355,4356,12374
2019/9/16,11:50,4356,4360,4355,4359,25840
2019/9/16,11:55,4359,4360,4358,4359,5558
2019/9/16,12:00,4359,4359,4356,4356,7844
2019/9/16,12:05,4357,4358,4356,4358,4320
2019/9/16,12:10,4359,4360,4358,4360,9424
2019/9/16,12:15,4360,4363,4359,4363,5982
2019/9/16,12:20,4363,4365,4362,4363,11006
2019/9/16,12:25,4363,4365,4361,4364,16156
2019/9/16,12:30,4365,4366,4364,4366,13802
2019/9/16,12:35,4365,4366,4362,4362,9454
2019/9/16,12:40,4363,4363,4361,4361,8684
2019/9/16,12:45,4361,4362,4359,4360,8778
2019/9/16,12:50,4360,4362,4359,4361,7308
2019/9/16,12:55,4362,4362,4360,4362,6620
2019/9/16,13:00,4362,4362,4361,4362,4028
2019/9/16,13:05,4361,4362,4361,4362,8870
2019/9/16,13:10,4362,4363,4361,4361,13278
2019/9/16,13:15,4361,4364,4361,4363,9362
2019/9/16,13:20,4363,4364,4362,4363,11026
2019/9/16,13:25,4363,4363,4360,4360,19194
2019/9/16,13:30,4361,4361,4357,4357,35962
2019/9/16,13:35,4357,4361,4352,4353,83280
2019/9/16,13:40,4353,4359,4351,4353,140764
2019/9/16,13:45,4353,4353,4346,4351,205786
2019/9/16,13:50,4352,4357,4347,4357,178892
2019/9/16,13:55,4358,4361,4355,4358,131582
2019/9/16,14:00,4359,4359,4354,4356,45498
2019/9/16,14:05,4355,4359,4353,4355,40832
2019/9/16,14:10,4355,4358,4353,4354,50384
2019/9/16,14:15,4354,4359,4354,4359,31924
2019/9/16,14:20,4358,4361,4356,4361,67978
2019/9/16,14:25,4361,4365,4360,4363,125462
2019/9/16,14:30,4362,4362,4360,4360,32754
2019/9/16,14:35,4362,4362,4356,4360,43180
2019/9/16,14:40,4360,4362,4358,4361,55270
2019/9/16,14:45,4361,4362,4359,4359,41488
2019/9/16,14:50,4360,4363,4359,4361,40164
2019/9/16,14:55,4360,4360,4355,4358,66114
2019/9/16,15:00,4357,4359,4356,4357,63764
2019/9/16,15:05,4358,4359,4354,4355,100184
2019/9/16,15:10,4356,4357,4352,4357,84726
2019/9/16,15:15,4357,4358,4354,4354,77670
2019/9/16,15:20,4355,4358,4353,4358,59414
2019/9/16,15:25,4357,4360,4357,4358,49066
2019/9/16,15:30,4357,4359,4355,4357,132712
2019/10/8,9:05,4223,4248,4217,4245,437458
2019/10/8,9:10,4246,4269,4236,4268,304422
2019/10/8,9:15,4267,4269,4257,4258,221230
2019/10/8,9:20,4257,4267,4257,4264,152184
2019/10/8,9:25,4264,4272,4262,4270,140080
2019/10/8,9:30,4271,4279,4267,4269,163436
2019/10/8,9:35,4271,4273,4265,4272,138964
2019/10/8,9:40,4272,4274,4270,4271,77282
2019/10/8,9:45,4270,4274,4269,4271,87730
2019/10/8,9:50,4270,4272,4263,4263,72376
2019/10/8,9:55,4263,4269,4263,4268,66970
2019/10/8,10:00,4267,4268,4258,4259,72624
2019/10/8,10:05,4259,4264,4257,4257,156760
2019/10/8,10:10,4257,4258,4248,4255,171738
2019/10/8,10:15,4256,4257,4250,4253,60344
2019/10/8,10:20,4254,4258,4253,4257,31510
2019/10/8,10:25,4258,4260,4255,4256,21330
2019/10/8,10:30,4255,4257,4255,4256,10750
2019/10/8,10:35,4256,4256,4247,4250,94536
2019/10/8,10:40,4250,4256,4249,4251,77626
2019/10/8,10:45,4253,4258,4251,4257,28792
2019/10/8,10:50,4256,4260,4256,4259,39530
2019/10/8,10:55,4259,4260,4257,4258,31606
2019/10/8,11:00,4258,4261,4257,4258,41906
2019/10/8,11:05,4258,4260,4257,4258,32514
2019/10/8,11:10,4259,4259,4253,4257,16148
2019/10/8,11:15,4258,4259,4257,4258,22192
2019/10/8,11:20,4256,4258,4254,4254,27650
2019/10/8,11:25,4255,4255,4252,4254,28464
2019/10/8,11:30,4254,4257,4252,4257,27186
2019/10/8,11:35,4257,4258,4254,4255,11596
2019/10/8,11:40,4255,4257,4255,4256,4384
2019/10/8,11:45,4255,4256,4255,4255,4914
2019/10/8,11:50,4256,4256,4255,4256,1176
2019/10/8,11:55,4255,4256,4255,4256,1706
2019/10/8,12:00,4256,4256,4254,4255,8070
2019/10/8,12:05,4256,4256,4254,4255,1124
2019/10/8,12:10,4254,4255,4254,4255,2452
2019/10/8,12:15,4255,4256,4253,4254,1490
2019/10/8,12:20,4254,4255,4253,4254,2280
2019/10/8,12:25,4253,4254,4253,4254,2880
2019/10/8,12:30,4254,4256,4254,4255,4468
2019/10/8,12:35,4255,4256,4255,4256,2004
2019/10/8,12:40,4255,4256,4255,4255,1074
2019/10/8,12:45,4255,4257,4255,4257,6196
2019/10/8,12:50,4257,4258,4256,4258,4242
2019/10/8,12:55,4258,4258,4256,4257,1744
2019/10/8,13:00,4257,4257,4256,4256,740
2019/10/8,13:05,4256,4257,4256,4256,2410
2019/10/8,13:10,4256,4258,4256,4258,2120
2019/10/8,13:15,4258,4258,4253,4254,9914
2019/10/8,13:20,4254,4255,4253,4253,6238
