DATE,TIME,Open,Highest,Lowest,Close,Volumn
2019/9/16,9:05,344.7,345.25,343.88,345.25,2980
2019/9/16,9:10,345.01,345.49,344.72,345.2,1908
2019/9/16,9:15,345.18,345.21,344.5,345.12,976
2019/9/16,9:20,345.11,345.13,344.8,344.88,526
2019/9/16,9:25,344.8,344.85,344.4,344.73,850
2019/9/16,9:30,344.72,344.8,344.63,344.78,344
2019/9/16,9:35,344.84,344.98,344.8,344.98,606
2019/9/16,9:40,344.95,344.95,344.56,344.56,608
2019/9/16,9:45,344.56,344.63,344.53,344.57,580
2019/9/16,9:50,344.52,344.75,344.52,344.72,466
2019/9/16,9:55,344.71,344.74,344.66,344.69,356
2019/9/16,10:00,344.68,344.75,344.61,344.71,440
2019/9/16,10:05,344.75,344.89,344.75,344.81,402
2019/9/16,10:10,344.81,344.9,344.7,344.77,468
2019/9/16,10:15,344.74,344.75,344.68,344.73,150
2019/9/16,10:20,344.72,344.74,344.66,344.68,546
2019/9/16,10:25,344.68,344.7,344.64,344.68,474
2019/9/16,10:30,344.68,344.69,344.57,344.69,316
2019/9/16,10:35,344.66,344.7,344.53,344.56,474
2019/9/16,10:40,344.55,344.55,344.41,344.44,286
2019/9/16,10:45,344.47,344.47,344.31,344.37,210
2019/9/16,10:50,344.37,344.4,344.24,344.32,624
2019/9/16,10:55,344.3,344.32,344.23,344.25,508
2019/9/16,11:00,344.27,344.33,344.07,344.11,1220
2019/9/16,11:05,344.11,344.3,344.1,344.25,568
2019/9/16,11:10,344.27,344.4,344.25,344.3,324
2019/9/16,11:15,344.28,344.5,344.28,344.47,390
2019/9/16,11:20,344.5,344.57,344.41,344.41,226
2019/9/16,11:25,344.45,344.5,344.39,344.39,158
2019/9/16,11:30,344.39,344.4,344.28,344.4,186
2019/9/16,11:35,344.4,344.49,344.25,344.4,76
2019/9/16,11:40,344.4,344.4,344.19,344.2,78
2019/9/16,11:45,344.2,344.2,344.15,344.15,56
2019/9/16,11:50,344.17,344.3,344.15,344.2,54
2019/9/16,11:55,344.15,344.3,344.15,344.27,70
2019/9/16,12:00,344.26,344.26,344.1,344.1,206
2019/9/16,12:05,344.19,344.25,344.11,344.25,50
2019/9/16,12:10,344.21,344.32,344.21,344.3,24
2019/9/16,12:15,344.2,344.4,344.2,344.4,86
2019/9/16,12:20,344.4,344.48,344.4,344.4,40
2019/9/16,12:25,344.4,344.5,344.4,344.5,12
2019/9/16,12:30,344.5,344.6,344.45,344.52,126
2019/9/16,12:35,344.54,344.56,344.4,344.43,54
2019/9/16,12:40,344.43,344.44,344.43,344.43,14
2019/9/16,12:45,344.35,344.4,344.35,344.35,30
2019/9/16,12:50,344.3,344.3,344.22,344.22,8
2019/9/16,12:55,344.28,344.5,344.28,344.5,24
2019/9/16,13:00,344.38,344.38,344.36,344.36,26
2019/9/16,13:05,344.3,344.36,344.3,344.36,14
2019/9/16,13:10,344.36,344.36,344.3,344.3,10
2019/9/16,13:15,344.3,344.36,344.3,344.36,38
2019/9/16,13:20,344.3,344.38,344.3,344.3,28
2019/9/16,13:25,344.3,344.34,344.18,344.18,150
2019/9/16,13:30,344.18,344.22,343.93,344.06,792
2019/9/16,13:35,344,344.06,343.65,343.74,1128
2019/9/16,13:40,343.75,344.14,343.66,343.86,1134
2019/9/16,13:45,343.81,343.86,343.65,343.8,672
2019/9/16,13:50,343.8,343.9,343.7,343.9,524
2019/9/16,13:55,343.9,344.37,343.83,344.06,576
