date,Agrt,Aurt,Agrtclose,Aurtclose
2019/7/2,0.002770852,0.008070179,3614,309.79
2019/7/3,0.011554461,0.026345396,3656,318.06
2019/7/4,-0.003562136,-0.009064413,3643,315.19
2019/7/5,0.001645639,0.001901804,3649,315.79
2019/7/8,-0.009084715,-0.00568445,3616,314
2019/7/9,-0.002492041,-0.008314727,3607,311.4
2019/7/10,0.00110834,-0.000385431,3611,311.28
2019/7/11,0.007449338,0.016914733,3638,316.59
2019/7/12,-0.004683849,-0.006051312,3621,314.68
2019/7/15,0.004683849,0.001238587,3638,315.07
2019/7/16,0.009574687,0.000571138,3673,315.25
2019/7/17,0.014326505,-0.004960738,3726,313.69
2019/7/18,0.021506205,0.009391826,3807,316.65
2019/7/19,0.028995042,0.012646678,3919,320.68
2019/7/22,-0.006656451,-0.007763625,3893,318.2
2019/7/23,0.000256838,-0.006115456,3894,316.26
2019/7/24,0.009202519,0.003913158,3930,317.5
2019/7/25,-0.001527884,0.000912969,3924,317.79
2019/7/26,-0.004085808,-0.002930751,3908,316.86
2019/7/29,-0.000767951,0.001072454,3905,317.2
2019/7/30,0.003323536,0.003870181,3918,318.43
2019/7/31,-0.00076599,0.003667543,3915,319.6
2019/8/1,-0.023518334,-0.014942118,3824,314.86
2019/8/2,0.009629222,0.023664915,3861,322.4
2019/8/5,0.037615616,0.029613006,4009,332.09
2019/8/6,-0.004249475,0.003336894,3992,333.2
2019/8/7,0.02008747,0.019849704,4073,339.88
2019/8/8,0.021135246,0.006510478,4160,342.1
2019/8/9,-0.004094911,0.003792856,4143,343.4
2019/8/12,-0.00629542,-0.00595831,4117,341.36
2019/8/13,0.032970019,0.023794795,4255,349.58
2019/8/14,-0.032727153,-0.024263618,4118,341.2
2019/8/15,0.013267593,0.00892837,4173,344.26
2019/8/16,0.000479157,0.003190165,4175,345.36
2019/8/19,-0.006970344,-0.004003835,4146,343.98
2019/8/20,-0.001689801,-0.003348819,4139,342.83
2019/8/21,0.001207292,-0.000175029,4144,342.77
2019/8/22,0.002650923,0.002389418,4155,343.59
2019/8/23,0.001202646,-0.000990041,4160,343.25
2019/8/26,0.04143719,0.033264301,4336,354.86
2019/8/27,0.009411294,0.002954544,4377,355.91
2019/8/28,0.028602333,0.003057892,4504,357
2019/8/29,0.017824215,0.005948658,4585,359.13
2019/8/30,-0.017602215,-0.015744379,4505,353.52
2019/9/2,-0.000222,-0.001868683,4504,352.86
2019/9/3,0.010600806,0.006130915,4552,355.03
2019/9/4,0.042998885,0.004384369,4752,356.59
2019/9/5,0.003361348,0.002996152,4768,357.66
2019/9/6,-0.0594063,-0.02812774,4493,347.74
2019/9/9,-0.016607204,-0.000316378,4419,347.63
2019/9/10,-0.007951877,-0.013583191,4384,342.94
2019/9/11,0.009986465,0.001631607,4428,343.5
2019/9/12,-0.000225861,0.002122927,4427,344.23
2019/9/16,-0.015938407,8.71E-05,4357,344.26
2019/9/17,-0.002067778,-0.003025545,4348,343.22
2019/9/18,0.00504704,0.004186783,4370,344.66
2019/9/19,-0.009657468,-0.003371312,4328,343.5
2019/9/20,0.010800978,0.00476302,4375,345.14
2019/9/23,0.024831976,0.01051989,4485,348.79
2019/9/25,0.002430672,0.0062112,4531,352.07
2019/9/26,-0.032069123,-0.013871435,4388,347.22
2019/9/27,-0.024219844,-0.006008453,4283,345.14
2019/10/8,0.005647074,-0.002879458,4262,343.32
2019/10/9,0.031866007,0.014085351,4400,348.19
2019/10/10,-0.012808958,-0.005500611,4344,346.28
2019/10/11,-0.004383442,-0.005589114,4325,344.35
2019/10/14,-0.010692803,-0.014390842,4279,339.43
2019/10/15,0.002800469,0.003587817,4291,340.65
2019/10/16,-0.014554248,-0.002380639,4229,339.84
2019/10/17,0.007538316,0.004404129,4261,341.34
2019/10/18,0.001641459,-0.002669524,4268,340.43
2019/10/21,0.011415383,0.000176232,4317,340.49
2019/10/22,-0.007440165,-0.002676197,4285,339.58
2019/10/23,-0.000466853,0.003586235,4283,340.8
2019/10/24,-0.003742694,-0.00314461,4267,339.73
2019/10/25,0.026822417,0.012083413,4383,343.86
2019/10/28,0.002051283,-0.000785512,4392,343.59
2019/10/29,-0.016529302,-0.01035642,4320,340.05
2019/10/30,0.00231214,-0.001500905,4330,339.54
2019/11/1,0.005971538,0.008605099,4367,343.13
2019/11/4,0.000228964,-0.001954522,4368,342.46
2019/11/5,-0.004589269,-0.005592905,4348,340.55
2019/11/6,-0.028696708,-0.014641983,4225,335.6
2019/11/7,0.002127912,-0.000357632,4234,335.48
2019/11/8,-0.032404131,-0.014229774,4099,330.74
2019/11/11,-0.007100042,-0.000635141,4070,330.53
2019/11/12,-0.004679235,-0.009300979,4051,327.47
2019/11/13,0.013241979,0.00993612,4105,330.74
2019/11/14,0.000487092,0.00313953,4107,331.78
2019/11/15,-0.010771218,-0.00274655,4063,330.87
2019/11/18,0.001229861,-0.001028122,4068,330.53
2019/11/19,0.014156936,0.006122868,4126,332.56
2019/11/20,-0.000969932,0.002342695,4122,333.34
2019/11/21,-0.001456664,-0.000540135,4116,333.16
2019/11/22,0,-0.001712355,4116,332.59
2019/11/25,-0.011484549,-0.006666993,4069,330.38
2019/11/26,0.001964155,-0.000969051,4077,330.06
2019/11/27,0.00635699,0.00136246,4103,330.51
2019/11/28,-0.003417972,-0.001756405,4089,329.93
2019/11/29,0.000244529,0.001574851,4090,330.45
2019/12/2,-0.001957906,0.001481728,4082,330.94
2019/12/3,0.000979432,0.003197879,4086,332
2019/12/4,0.027518029,0.018443329,4200,338.18
2019/12/5,-0.018746043,-0.007956342,4122,335.5
2019/12/6,-0.006815995,-0.004480963,4094,334
2019/12/9,-0.013772967,-0.006277145,4038,331.91
2019/12/10,0.000990099,0.001144234,4042,332.29
2019/12/11,0.000494682,0.000601703,4044,332.49
2019/12/12,0.011310669,0.004800633,4090,334.09
2019/12/13,-0.007361996,-0.011499916,4060,330.27
2019/12/16,0.013455861,0.010631509,4115,333.8
2019/12/17,-0.001702542,-0.000989105,4108,333.47
2019/12/18,0.001216397,0.000599574,4113,333.67
2019/12/19,-0.002434276,-0.001349548,4103,333.22
2019/12/20,0.005105153,0.002906761,4124,334.19
2019/12/23,0.013966035,0.004448632,4182,335.68
2019/12/24,0.012357572,0.003063701,4234,336.71
2019/12/25,0.007763831,0.005302067,4267,338.5
2019/12/26,0.014425564,0.002861486,4329,339.47
2019/12/27,-0.009749381,0.002706441,4287,340.39
2019/12/30,0.003957635,0.000264368,4304,340.48
2019/12/31,0.009711059,0.005389585,4346,342.32
2020/1/2,-0.013202276,-0.003013416,4289,341.29
2020/1/3,0.018709404,0.014977088,4370,346.44
2020/1/6,0.016341716,0.021615518,4442,354.01
2020/1/7,-0.019091489,-0.007542284,4358,351.35
2020/1/8,0.019541635,0.013372547,4444,356.08
2020/1/9,-0.037835534,-0.030336458,4279,345.44
2020/1/10,0.000934361,0.004131103,4283,346.87
2020/1/13,0,-0.002944915,4283,345.85
2020/1/14,-0.016478716,-0.00888714,4213,342.79
2020/1/15,0.005916477,0.006252474,4238,344.94
2020/1/16,0.001885903,0.001564266,4246,345.48
2020/1/17,0.001882353,-0.003450429,4254,344.29
2020/1/20,0.001644158,0.00249478,4261,345.15
2020/1/21,0.005850023,0.008338311,4286,348.04
2020/1/22,-0.016229922,-0.00619661,4217,345.89
2020/1/23,0.000474158,0.003405683,4219,347.07
2020/2/3,0.0115472,0.025348061,4268,355.98
2020/2/4,-0.001876173,-0.005803651,4260,353.92
2020/2/5,-0.000939408,-0.005780691,4256,351.88
2020/2/6,-0.003059186,-0.006386155,4243,349.64
2020/2/7,0.003294121,0.005703871,4257,351.64
2020/2/10,-0.000469925,0.003860132,4255,353
2020/2/11,0.001174398,-0.00252443,4260,352.11
2020/2/12,-0.011569011,-0.003727366,4211,350.8
2020/2/13,0.006627243,0.008261108,4239,353.71
2020/2/14,0.001178828,0.000650039,4244,353.94
2020/2/17,0.008213117,0.004088371,4279,355.39
2020/2/18,0.003266452,0.005555882,4293,357.37
2020/2/19,0.021659833,0.010494035,4387,361.14
2020/2/20,0.002049414,0.003206903,4396,362.3
2020/2/21,0.016469633,0.019624014,4469,369.48
2020/2/24,0.008245172,0.020997022,4506,377.32
2020/2/25,-0.021308421,-0.019779835,4411,369.93
2020/2/26,-0.010483232,0.004584937,4365,371.63
2020/2/27,-0.003672256,-0.001023046,4349,371.25
2020/2/28,-0.053122367,-0.015883046,4124,365.4
2020/3/2,-0.013672088,-0.017670255,4068,359
2020/3/3,-0.006411859,-0.00214715,4042,358.23
2020/3/4,0.017169909,0.01789986,4112,364.7
2020/3/5,0.000729306,0.00336696,4115,365.93
2020/3/6,0.006781329,0.019270401,4143,373.05
2020/3/9,-0.035876083,-0.000670376,3997,372.8
2020/3/10,0.017115635,-0.016579822,4066,366.67
2020/3/11,-0.000492005,0.008067298,4064,369.64
2020/3/12,-0.018877858,-0.009213399,3988,366.25
2020/3/13,-0.059669086,-0.029875303,3757,355.47
2020/3/16,-0.061473398,-0.030882434,3533,344.66
2020/3/19,-0.08196723,-0.007301469,2915,335.69
2020/3/20,0.075307938,0.012875143,3143,340.04
2020/3/23,-0.011198325,-0.003800886,3108,338.75
2020/3/24,0.075876035,0.052193258,3353,356.9
2020/3/25,0.053140677,0.018241132,3536,363.47
2020/3/26,-0.014528101,-0.002975783,3485,362.39
2020/3/27,0.017352163,0.009857707,3546,365.98
2020/3/30,-0.053581659,-0.005424819,3361,364
2020/3/31,0.023232923,-0.000659558,3440,363.76
2020/4/1,-0.007879801,-0.010112539,3413,360.1
2020/4/2,0.028594006,0.00066626,3512,360.34
2020/4/3,0.009352484,0.006555587,3545,362.71
2020/4/7,0.055150444,0.022355829,3746,370.91
2020/4/8,-0.012626091,-0.001645958,3699,370.3
2020/4/9,0.001080789,0.001295407,3703,370.78
2020/4/10,0.011545302,0.004869725,3746,372.59
2020/4/13,-0.012085551,-0.002203236,3701,371.77
2020/4/14,0.020591716,0.014022853,3778,377.02
2020/4/15,-0.013322872,-0.008818141,3728,373.71
