证券代码,证券名称,交易时间,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅%,成交量,成交额
AUTD,黄金T+D,2020-10-30 20:05:00,397.8000,397.9700,397.1500,397.3600,0.9300,0.2346,748,"297,424,224"
AUTD,黄金T+D,2020-10-30 20:10:00,397.3600,397.5000,397.1100,397.5000,0.1400,0.0352,446,"177,230,740"
AUTD,黄金T+D,2020-10-30 20:15:00,397.5000,397.6000,397.1600,397.4000,-0.1000,-0.0252,254,"100,953,520"
AUTD,黄金T+D,2020-10-30 20:20:00,397.4800,397.5500,397.2700,397.2700,-0.1300,-0.0327,120,"47,694,860"
AUTD,黄金T+D,2020-10-30 20:25:00,397.2700,397.7000,397.2000,397.7000,0.4300,0.1082,320,"127,196,520"
AUTD,黄金T+D,2020-10-30 20:30:00,397.8000,397.8000,397.5000,397.5000,-0.2000,-0.0503,240,"95,437,420"
AUTD,黄金T+D,2020-10-30 20:35:00,397.5500,397.8500,397.4300,397.5000,0.0000,0.0000,182,"72,381,060"
AUTD,黄金T+D,2020-10-30 20:40:00,397.6000,397.8500,397.6000,397.6400,0.1400,0.0352,184,"73,187,320"
AUTD,黄金T+D,2020-10-30 20:45:00,397.7400,398.0000,397.6200,398.0000,0.3600,0.0905,224,"89,127,940"
AUTD,黄金T+D,2020-10-30 20:50:00,398.0000,398.5000,397.8800,398.4000,0.4000,0.1005,400,"159,324,940"
AUTD,黄金T+D,2020-10-30 20:55:00,398.4500,398.5700,398.2000,398.2600,-0.1400,-0.0351,322,"128,275,800"
AUTD,黄金T+D,2020-10-30 21:00:00,398.3800,399.0000,398.2700,398.9600,0.7000,0.1758,810,"322,984,480"
AUTD,黄金T+D,2020-10-30 21:05:00,398.9700,399.3500,398.8900,399.1500,0.1900,0.0476,"1,798","717,667,936"
AUTD,黄金T+D,2020-10-30 21:10:00,399.1700,399.4800,399.1000,399.3800,0.2300,0.0576,834,"332,980,080"
AUTD,黄金T+D,2020-10-30 21:15:00,399.3700,399.7300,399.2000,399.5200,0.1400,0.0351,"1,368","546,497,568"
AUTD,黄金T+D,2020-10-30 21:20:00,399.4600,399.6000,399.1300,399.3600,-0.1600,-0.0400,404,"161,333,180"
AUTD,黄金T+D,2020-10-30 21:25:00,399.3800,399.6000,399.2900,399.6000,0.2400,0.0601,436,"174,172,980"
AUTD,黄金T+D,2020-10-30 21:30:00,399.5900,399.7000,399.4000,399.5600,-0.0400,-0.0100,318,"127,056,560"
AUTD,黄金T+D,2020-10-30 21:35:00,399.5600,399.7000,399.1000,399.1000,-0.4600,-0.1151,272,"108,666,520"
AUTD,黄金T+D,2020-10-30 21:40:00,399.1000,399.2500,398.8200,399.1800,0.0800,0.0200,432,"172,365,480"
AUTD,黄金T+D,2020-10-30 21:45:00,399.0600,399.2700,399.0000,399.1600,-0.0200,-0.0050,212,"84,609,160"
AUTD,黄金T+D,2020-10-30 21:50:00,399.0500,399.1600,398.6000,398.8000,-0.3600,-0.0902,418,"166,704,160"
AUTD,黄金T+D,2020-10-30 21:55:00,398.7000,398.9900,398.5800,398.5800,-0.2200,-0.0552,148,"59,019,180"
AUTD,黄金T+D,2020-10-30 22:00:00,398.5800,398.9300,398.5800,398.8000,0.2200,0.0552,126,"50,247,580"
AUTD,黄金T+D,2020-10-30 22:05:00,398.8500,398.8500,398.4500,398.5500,-0.2500,-0.0627,272,"108,409,240"
AUTD,黄金T+D,2020-10-30 22:10:00,398.5200,398.6700,398.3000,398.3600,-0.1900,-0.0477,182,"72,526,300"
AUTD,黄金T+D,2020-10-30 22:15:00,398.3000,398.4200,398.0800,398.2500,-0.1100,-0.0276,222,"88,406,220"
AUTD,黄金T+D,2020-10-30 22:20:00,398.3000,398.3000,398.1500,398.2000,-0.0500,-0.0126,128,"50,969,200"
AUTD,黄金T+D,2020-10-30 22:25:00,398.2700,398.5700,398.2500,398.5000,0.3000,0.0753,148,"58,962,900"
AUTD,黄金T+D,2020-10-30 22:30:00,398.4000,398.6900,398.3800,398.3800,-0.1200,-0.0301,78,"31,083,100"
AUTD,黄金T+D,2020-10-30 22:35:00,398.4000,398.4400,398.1200,398.1700,-0.2100,-0.0527,106,"42,213,700"
AUTD,黄金T+D,2020-10-30 22:40:00,398.1100,398.3000,398.0500,398.2000,0.0300,0.0075,186,"74,059,720"
AUTD,黄金T+D,2020-10-30 22:45:00,398.1900,398.1900,397.7600,398.0000,-0.2000,-0.0502,426,"169,519,740"
AUTD,黄金T+D,2020-10-30 22:50:00,398.0200,398.0300,397.7600,398.0100,0.0100,0.0025,226,"89,925,580"
AUTD,黄金T+D,2020-10-30 22:55:00,397.8700,398.2400,397.8700,398.0600,0.0500,0.0126,124,"49,363,800"
AUTD,黄金T+D,2020-10-30 23:00:00,398.1600,398.3600,398.0000,398.2400,0.1800,0.0452,68,"27,077,000"
AUTD,黄金T+D,2020-10-30 23:05:00,398.2100,399.1000,398.1500,398.8700,0.6300,0.1582,418,"166,746,000"
AUTD,黄金T+D,2020-10-30 23:10:00,398.6700,398.7700,398.5500,398.6600,-0.2100,-0.0526,84,"33,487,380"
AUTD,黄金T+D,2020-10-30 23:15:00,398.7000,398.8700,398.5800,398.8700,0.2100,0.0527,116,"46,250,620"
AUTD,黄金T+D,2020-10-30 23:20:00,398.8800,398.8900,398.5800,398.5800,-0.2900,-0.0727,64,"25,523,360"
AUTD,黄金T+D,2020-10-30 23:25:00,398.5800,398.7400,398.4500,398.5500,-0.0300,-0.0075,96,"38,262,200"
AUTD,黄金T+D,2020-10-30 23:30:00,398.4000,398.4000,397.8500,398.0000,-0.5500,-0.1380,108,"42,991,300"
AUTD,黄金T+D,2020-10-30 23:35:00,398.1000,398.1000,397.6500,397.9700,-0.0300,-0.0075,224,"89,125,500"
AUTD,黄金T+D,2020-10-30 23:40:00,397.9700,398.0000,397.8100,397.8100,-0.1600,-0.0402,72,"28,651,000"
AUTD,黄金T+D,2020-10-30 23:45:00,397.9000,397.9000,397.5200,397.8000,-0.0100,-0.0025,186,"73,968,900"
AUTD,黄金T+D,2020-10-30 23:50:00,397.7600,398.2000,397.7200,398.2000,0.4000,0.1006,126,"50,144,380"
AUTD,黄金T+D,2020-10-30 23:55:00,398.2000,398.2400,398.1000,398.2000,0.0000,0.0000,150,"59,724,980"
AUTD,黄金T+D,2020-10-31 00:00:00,398.2600,398.3800,398.1600,398.2500,0.0500,0.0126,138,"54,963,280"
AUTD,黄金T+D,2020-10-31 00:05:00,398.3200,398.5200,398.3200,398.4900,0.2400,0.0603,78,"31,078,300"
AUTD,黄金T+D,2020-10-31 00:10:00,398.5000,398.6300,398.3100,398.3100,-0.1800,-0.0452,126,"50,207,760"
AUTD,黄金T+D,2020-10-31 00:15:00,398.4200,398.4200,398.2600,398.3600,0.0500,0.0125,44,"17,526,300"
AUTD,黄金T+D,2020-10-31 00:20:00,398.3600,398.3600,398.2300,398.2300,-0.1300,-0.0326,8,"3,186,140"
AUTD,黄金T+D,2020-10-31 00:25:00,398.2300,398.3600,398.2300,398.2600,0.0300,0.0075,6,"2,389,700"
AUTD,黄金T+D,2020-10-31 00:30:00,398.2000,398.5200,398.1400,398.5000,0.2400,0.0603,114,"45,413,800"
AUTD,黄金T+D,2020-10-31 00:35:00,398.5000,398.5000,398.1000,398.1000,-0.4000,-0.1004,30,"11,945,080"
AUTD,黄金T+D,2020-10-31 00:40:00,398.0600,398.0600,398.0000,398.0500,-0.0500,-0.0126,50,"19,901,840"
AUTD,黄金T+D,2020-10-31 00:45:00,398.1400,398.1400,397.9900,398.0400,-0.0100,-0.0025,26,"10,349,320"
AUTD,黄金T+D,2020-10-31 00:50:00,398.0000,398.1600,398.0000,398.1500,0.1100,0.0276,32,"12,739,920"
AUTD,黄金T+D,2020-10-31 00:55:00,398.1500,398.4200,398.1500,398.4200,0.2700,0.0678,18,"7,169,540"
AUTD,黄金T+D,2020-10-31 01:00:00,398.4200,398.4200,398.3500,398.3700,-0.0500,-0.0126,18,"7,170,480"
AUTD,黄金T+D,2020-10-31 01:05:00,398.3700,398.4000,398.3700,398.4000,0.0300,0.0075,2,"796,800"
AUTD,黄金T+D,2020-10-31 01:10:00,398.4000,398.4000,398.1000,398.1000,-0.3000,-0.0753,4,"1,592,440"
AUTD,黄金T+D,2020-10-31 01:15:00,398.0500,398.1500,398.0500,398.1500,0.0500,0.0126,24,"9,553,540"
AUTD,黄金T+D,2020-10-31 01:20:00,398.1600,398.2200,398.1000,398.2200,0.0700,0.0176,16,"6,370,800"
AUTD,黄金T+D,2020-10-31 01:25:00,398.2300,398.2300,398.0500,398.0700,-0.1500,-0.0377,40,"15,927,020"
AUTD,黄金T+D,2020-10-31 01:30:00,398.0900,398.2000,398.0000,398.1900,0.1200,0.0301,36,"14,331,160"
AUTD,黄金T+D,2020-10-31 01:35:00,398.0500,398.0500,397.9600,398.0200,-0.1700,-0.0427,50,"19,900,080"
AUTD,黄金T+D,2020-10-31 01:40:00,398.0400,398.0900,398.0000,398.0000,-0.0200,-0.0050,36,"14,329,440"
AUTD,黄金T+D,2020-10-31 01:45:00,398.0000,398.0100,397.9100,398.0100,0.0100,0.0025,10,"3,979,680"
AUTD,黄金T+D,2020-10-31 01:50:00,398.0100,398.1000,398.0100,398.0500,0.0400,0.0100,10,"3,980,700"
AUTD,黄金T+D,2020-10-31 01:55:00,398.0500,398.1500,398.0500,398.1500,0.1000,0.0251,32,"12,739,400"
AUTD,黄金T+D,2020-10-31 02:00:00,398.1500,398.2600,398.1500,398.2600,0.1100,0.0276,12,"4,778,460"
AUTD,黄金T+D,2020-10-31 02:05:00,398.2600,398.2600,398.0500,398.0500,-0.2100,-0.0527,20,"7,961,940"
AUTD,黄金T+D,2020-10-31 02:10:00,398.3100,398.3400,398.3100,398.3400,0.2900,0.0729,10,"3,983,320"
AUTD,黄金T+D,2020-10-31 02:15:00,398.3500,398.3900,398.3100,398.3100,-0.0300,-0.0075,38,"15,137,240"
AUTD,黄金T+D,2020-10-31 02:20:00,398.3100,398.3500,398.2700,398.2700,-0.0400,-0.0100,8,"3,186,460"
AUTD,黄金T+D,2020-10-31 02:25:00,398.3600,398.3700,398.3200,398.3500,0.0800,0.0201,72,"28,681,740"
AUTD,黄金T+D,2020-10-31 02:30:00,398.3500,398.6300,398.3200,398.6000,0.2500,0.0628,128,"51,000,960"
AUTD,黄金T+D,2020-11-02 09:05:00,398.0000,398.0000,397.0000,397.2800,-1.3200,-0.3312,"1,114","442,561,072"
AUTD,黄金T+D,2020-11-02 09:10:00,397.2500,397.6500,397.2500,397.6300,0.3500,0.0881,"1,072","426,101,984"
AUTD,黄金T+D,2020-11-02 09:15:00,397.6500,398.3000,397.6500,398.2000,0.5700,0.1434,810,"322,395,776"
AUTD,黄金T+D,2020-11-02 09:20:00,398.2500,398.3700,398.2100,398.3300,0.1300,0.0326,442,"176,050,500"
AUTD,黄金T+D,2020-11-02 09:25:00,398.3400,398.5000,398.0800,398.1000,-0.2300,-0.0577,814,"324,204,736"
AUTD,黄金T+D,2020-11-02 09:30:00,398.1000,398.2500,398.0900,398.2000,0.1000,0.0251,"1,796","715,157,600"
AUTD,黄金T+D,2020-11-02 09:35:00,398.2000,398.3200,398.1500,398.2400,0.0400,0.0100,752,"299,468,576"
AUTD,黄金T+D,2020-11-02 09:40:00,398.2500,398.3200,398.2400,398.3000,0.0600,0.0151,632,"251,717,380"
AUTD,黄金T+D,2020-11-02 09:45:00,398.3200,398.5000,398.2700,398.4000,0.1000,0.0251,658,"262,146,160"
AUTD,黄金T+D,2020-11-02 09:50:00,398.4200,398.6000,398.4000,398.6000,0.2000,0.0502,768,"306,032,416"
AUTD,黄金T+D,2020-11-02 09:55:00,398.5700,398.7300,398.5500,398.7000,0.1000,0.0251,854,"340,420,240"
AUTD,黄金T+D,2020-11-02 10:00:00,398.6600,398.7000,398.3700,398.5600,-0.1400,-0.0351,434,"173,012,580"
AUTD,黄金T+D,2020-11-02 10:05:00,398.4700,398.5900,398.3500,398.4700,-0.0900,-0.0226,152,"60,573,540"
AUTD,黄金T+D,2020-11-02 10:10:00,398.4600,398.6500,398.4600,398.6500,0.1800,0.0452,270,"107,619,020"
AUTD,黄金T+D,2020-11-02 10:15:00,398.6000,398.8000,398.5600,398.7700,0.1200,0.0301,372,"148,316,940"
AUTD,黄金T+D,2020-11-02 10:20:00,398.8000,398.8000,398.6000,398.6500,-0.1200,-0.0301,148,"59,004,840"
AUTD,黄金T+D,2020-11-02 10:25:00,398.7000,398.7000,398.6500,398.6500,0.0000,0.0000,116,"46,244,140"
AUTD,黄金T+D,2020-11-02 10:30:00,398.6500,398.7000,398.6300,398.6400,-0.0100,-0.0025,260,"103,648,980"
AUTD,黄金T+D,2020-11-02 10:35:00,398.6400,398.8700,398.5600,398.8700,0.2300,0.0577,272,"108,444,340"
AUTD,黄金T+D,2020-11-02 10:40:00,398.7900,398.9500,398.7900,398.8700,0.0000,0.0000,518,"206,625,880"
AUTD,黄金T+D,2020-11-02 10:45:00,398.8300,399.3500,398.8300,399.2800,0.4100,0.1028,620,"247,438,420"
AUTD,黄金T+D,2020-11-02 10:50:00,399.3100,399.4500,399.1700,399.2800,0.0000,0.0000,622,"248,360,580"
AUTD,黄金T+D,2020-11-02 10:55:00,399.2500,399.4900,399.2500,399.4400,0.1600,0.0401,394,"157,349,540"
AUTD,黄金T+D,2020-11-02 11:00:00,399.3400,399.4300,399.1100,399.2000,-0.2400,-0.0601,388,"154,917,120"
AUTD,黄金T+D,2020-11-02 11:05:00,399.2000,399.3200,398.8100,398.9200,-0.2800,-0.0701,690,"275,355,280"
AUTD,黄金T+D,2020-11-02 11:10:00,398.9600,399.0600,398.8500,398.8600,-0.0600,-0.0150,130,"51,864,280"
AUTD,黄金T+D,2020-11-02 11:15:00,398.9500,399.2000,398.8800,399.1100,0.2500,0.0627,126,"50,276,960"
AUTD,黄金T+D,2020-11-02 11:20:00,399.1500,399.3000,399.0400,399.2000,0.0900,0.0226,294,"117,347,660"
AUTD,黄金T+D,2020-11-02 11:25:00,399.1200,399.1700,398.9500,398.9500,-0.2500,-0.0626,322,"128,497,660"
AUTD,黄金T+D,2020-11-02 11:30:00,399.0000,399.0800,398.8700,398.8700,-0.0800,-0.0201,208,"82,982,420"
AUTD,黄金T+D,2020-11-02 11:35:00,398.9500,399.2500,398.8500,399.0000,0.1300,0.0326,86,"34,320,040"
AUTD,黄金T+D,2020-11-02 11:40:00,399.0000,399.0500,399.0000,399.0000,0.0000,0.0000,20,"7,980,400"
AUTD,黄金T+D,2020-11-02 11:45:00,399.0500,399.0500,399.0000,399.0500,0.0500,0.0125,12,"4,788,500"
AUTD,黄金T+D,2020-11-02 11:50:00,399.0500,399.0700,399.0500,399.0700,0.0200,0.0050,4,"1,596,240"
AUTD,黄金T+D,2020-11-02 11:55:00,399.0700,399.0700,399.0000,399.0700,0.0000,0.0000,32,"12,769,520"
AUTD,黄金T+D,2020-11-02 12:00:00,399.0700,399.0700,399.0000,399.0000,-0.0700,-0.0175,18,"7,182,980"
AUTD,黄金T+D,2020-11-02 12:05:00,399.0000,399.0000,398.9100,398.9100,-0.0900,-0.0226,6,"2,393,820"
AUTD,黄金T+D,2020-11-02 12:10:00,398.9100,398.9100,398.9100,398.9100,0.0000,0.0000,4,"1,595,640"
AUTD,黄金T+D,2020-11-02 12:15:00,398.9000,398.9900,398.8000,398.9700,0.0600,0.0150,62,"24,729,800"
AUTD,黄金T+D,2020-11-02 12:20:00,398.8000,398.8800,398.8000,398.8200,-0.1500,-0.0376,50,"19,942,260"
AUTD,黄金T+D,2020-11-02 12:25:00,398.8200,398.8200,398.8100,398.8100,-0.0100,-0.0025,6,"2,392,880"
AUTD,黄金T+D,2020-11-02 12:30:00,398.8100,398.8100,398.7800,398.7800,-0.0300,-0.0075,44,"17,547,460"
AUTD,黄金T+D,2020-11-02 12:35:00,398.7100,398.7100,398.7100,398.7100,-0.0700,-0.0176,6,"2,392,260"
AUTD,黄金T+D,2020-11-02 12:40:00,398.7300,398.8500,398.7300,398.7300,0.0200,0.0050,18,"7,177,480"
AUTD,黄金T+D,2020-11-02 12:45:00,398.7400,398.7400,398.7100,398.7100,-0.0200,-0.0050,22,"8,772,000"
AUTD,黄金T+D,2020-11-02 12:50:00,398.7800,398.8200,398.7100,398.7100,0.0000,0.0000,18,"7,177,880"
AUTD,黄金T+D,2020-11-02 12:55:00,398.8000,398.8200,398.7500,398.7500,0.0400,0.0100,60,"23,926,360"
AUTD,黄金T+D,2020-11-02 13:00:00,398.7500,398.7500,398.7000,398.7000,-0.0500,-0.0125,48,"19,139,260"
AUTD,黄金T+D,2020-11-02 13:05:00,398.7500,398.8000,398.7100,398.7500,0.0500,0.0125,14,"5,582,520"
AUTD,黄金T+D,2020-11-02 13:10:00,398.7500,398.8500,398.7500,398.8500,0.1000,0.0251,16,"6,381,480"
AUTD,黄金T+D,2020-11-02 13:15:00,398.8500,398.8500,398.7600,398.8000,-0.0500,-0.0125,16,"6,380,660"
AUTD,黄金T+D,2020-11-02 13:20:00,398.8500,398.9700,398.8500,398.9600,0.1600,0.0401,54,"21,541,360"
AUTD,黄金T+D,2020-11-02 13:25:00,398.9600,399.0500,398.9600,398.9800,0.0200,0.0050,74,"29,526,180"
AUTD,黄金T+D,2020-11-02 13:30:00,399.0000,399.0000,398.9000,398.9900,0.0100,0.0025,36,"14,362,200"
AUTD,黄金T+D,2020-11-02 13:35:00,398.9100,398.9900,398.6500,398.8800,-0.1100,-0.0276,238,"94,914,880"
