模型形式,omega,alpha1,beta1,eta11,eta21,delta,lambda,xi,pi
"(N,RV)",0.373,0.435,0.339,-0.221,0.225,1.106,0.563,-0.822,0.819
,(0.000),(0.000),(0.002),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(T,RV)",0.539,0.503,0.304,-0.244,0.261,1.017,0.562,-0.941,0.815
,(0.007),(0.000),(0.006),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(ST,RV)",0.528,0.505,0.302,-0.242,0.255,1.014,0.562,-0.926,0.814
,(0.008),(0.000),(0.006),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(GH,RV)",0.422,0.484,0.319,-0.227,0.226,1.035,0.562,-0.831,0.820
,(0.001),(0.000),(0.005),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(N,BV)",0.403,0.418,0.329,-0.216,0.227,1.199,0.553,-0.930,0.830
,(0.000),(0.000),(0.001),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(T,BV)",0.561,0.477,0.299,-0.237,0.262,1.109,0.552,-1.053,0.828
,(0.004),(0.000),(0.004),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(ST,BV)",0.552,0.480,0.298,-0.235,0.257,1.106,0.552,-1.038,0.828
,(0.004),(0.000),(0.005),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(GH,BV)",0.452,0.461,0.313,-0.221,0.230,1.126,0.552,-0.940,0.832
,(0.001),(0.000),(0.003),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(N,medRV)",0.435,0.437,0.298,-0.218,0.224,1.205,0.536,-0.964,0.825
,(0.000),(0.000),(0.003),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(T,medRV)",0.573,0.480,0.281,-0.235,0.255,1.136,0.536,-1.082,0.826
,(0.003),(0.000),(0.007),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(ST,medRV)",0.563,0.482,0.279,-0.233,0.251,1.133,0.536,-1.066,0.826
,(0.003),(0.000),(0.007),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(GH,medRV)",0.473,0.466,0.292,-0.221,0.227,1.152,0.536,-0.976,0.829
,(0.001),(0.000),(0.006),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(N,RK)",0.417,0.375,0.331,-0.227,0.258,1.229,0.653,-1.057,0.791
,(0.000),(0.000),(0.004),(0.000),(0.000),(0.000),(0.000),(0.000),-
"(T,RK)",0.656,0.442,0.280,-0.263,0.319,1.125,0.652,-1.244,0.777
,(0.008),(0.000),(0.015),(0.000),(0.001),(0.000),(0.000),(0.000),-
"(ST,RK)",0.637,0.446,0.277,-0.260,0.309,1.119,0.652,-1.216,0.776
,(0.009),(0.000),(0.016),(0.000),(0.001),(0.000),(0.000),(0.000),-
"(GH,RK)",0.484,0.427,0.295,-0.236,0.259,1.141,0.652,-1.065,0.783
,(0.001),(0.000),(0.013),(0.000),(0.000),(0.000),(0.000),(0.000),-
